Hanzi,Pinyin,English,
的,de,of,
是,shì,is,
我,wǒ,I,
了,le,-ed,
不,bù,no,
在,zài,at,
他,tā,he,
有,yǒu,have,
这,zhè,this,
一,yī,one,
你,nǐ,you,
人,rén,person,
来,lái,come,
说,shuō,say,
个,ge,individual,
会,huì,meet,
上,shàng,above,
那,nà,that,
和,hé,and/peace,
好,hǎo,good,
能,néng,able to,
大,dà,big,
去,qù,go,
她,tā,she,
都,dōu,all,
下,xià,below,
里,lǐ,inside,
想,xiǎng,think,
看,kàn,see,
多,duō,many,
家,jiā,home,
小,xiǎo,small,
年,nián,year,
出,chū,exit,
对,duì,correct,
很,hěn,very,
开,kāi,open,
点,diǎn,dot,
些,xiē,some,
中,zhōng,middle,
们,men,they,
回,huí,return,
生,shēng,birth,
子,zǐ,son,
时,shí,time,
现,xiàn,appear,
么,me,suffix,
没,méi,have not,
本,běn,origin,
天,tiān,sky,
面,miàn,face,
到,dào,arrive,
就,jiù,at once,
要,yào,want,
太,tài,too,
做,zuò,make/do,
分,fēn,divide,
听,tīng,listen,
样,yàng,appearance,
也,yě,also,
起,qǐ,rise,
三,sān,three,
得,dé,get,
学,xué,study,
同,tóng,same,
见,jiàn,meet,
过,guò,pass,
作,zuò,do,
后,hòu,behind,
老,lǎo,old,
高,gāo,tall,
前,qián,front,
着,zhe,progressive,
儿,ér,son,
女,nǚ,woman,
国,guó,country,
关,guān,close,
日,rì,sun,
还,hái,still,
先,xiān,first,
再,zài,again,
西,xī,west,
工,gōng,work,
几,jǐ,how many,
为,wèi,because of,
什,shén,what,
明,míng,bright,
打,dǎ,hit,
东,dōng,east,
以,yǐ,so as to,
话,huà,words,
十,shí,ten,
少,shǎo,few,
机,jī,machine,
月,yuè,moon,
住,zhù,live at,
二,èr,two,
从,cóng,from,
可,kě,can,
果,guǒ,fruit,
水,shuǐ,water,
电,diàn,electric,
叫,jiào,call,
爱,ài,love,
给,gěi,give,
呢,ne,question,
进,jìn,advance,
所,suǒ,place,
最,zuì,most,
行,xíng,go/do,
真,zhēn,really,
问,wèn,ask,
等,děng,wait,
系,xì,link,
名,míng,name,
走,zǒu,walk,
两,liǎng,two,
长,cháng,long,
吗,ma,question,
事,shì,matter,
请,qǐng,please,
认,rèn,recognize,
别,bié,don't,
自,zì,self,
次,cì,once,
但,dàn,but,
四,sì,four,
觉,jué,feel,
意,yì,idea,
它,tā,it,
车,chē,vehicle,
道,dào,way,
已,yǐ,already,
知,zhī,know,
吃,chī,eat,
新,xīn,new,
外,wài,outside,
字,zì,character,
气,qì,gas,
正,zhèng,correct,
比,bǐ,compare,
书,shū,book,
今,jīn,today,
五,wǔ,five,
师,shī,teacher,
期,qī,term,
怎,zěn,how,
地,dì,location,
让,ràng,yield,
经,jīng,through,
发,fā,send out,
只,zhǐ,only,
用,yòng,use,
门,mén,gate,
向,xiàng,toward,
因,yīn,cause,
题,tí,topic,
服,fú,garment,
把,bǎ,grasp,
件,jiàn,item,
谁,shéi,who,
钱,qián,money,
手,shǒu,hand,
公,gōng,public,
动,dòng,move,
候,hòu,after,
快,kuài,quick,
身,shēn,body,
情,qíng,feeling,
白,bái,white,
间,jiān,between,
哪,nǎ,which,
写,xiě,write,
教,jiào,teach,
场,chǎng,site,
而,ér,and,
种,zhǒng,type,
被,bèi,by/quilt,
第,dì,ordinal,
当,dāng,be,
路,lù,road,
院,yuàn,courtyard,
又,yòu,again,
完,wán,finish,
火,huǒ,fire,
员,yuán,employee,
体,tǐ,body,
常,cháng,often,
笑,xiào,laugh,
告,gào,tell,
非,fēi,negate,
