Kanji,Pronunciation,English
手伝う,てつだう,To assist
勿論,もちろん,Of course
作法,さほう,Manners
約束,やくそく,Promise
支払い,しはらい,Payment
中央線,ちゅうおうせん,Central Line
中央銀行,ちゅうおういんこう,Central Bank
中央郵便局,ちゅうおうゆうびんきょうく,Central Post Office
横浜,よこはま,Yokohama
横,よこ,Horizontal
横断,おうだん,Crossing
横断きん止,おうだんきんし,No crossing
横だん歩道　,おうだんほどう,Zebra crossing
水泳します,すいういします,To swim
泳ぎます,およぎます,Swim
委員,いいん,Committee Member
委員会,いいんかい,A committee board
委員長,いいんちょう,Committee Chairperson
階,かい,Floor/Storey
五階,ごかい,５th　Floor
階段,かいだん,Stairs
段階,だんかい,Step/Stage
漢,かん,Chinese
漢字,かんじ,Kanji
漢文,かんぶん,Chinese Literature
曲がます,まがます,To turn
曲,きょく,Song
曲線,きょくせん,Curved Line
作曲家,さっきょくか,Composer
局,きょく,Office
放送局,ほうそうきょく,Broadcasting Station
日本放送局,にほんほうそうきょく,NHK
薬局,やっきょく,Pharmacy
岸,がん・きし,Coast/shore
海岸,海岸,Beach
西海岸,にしかいがん,West Coast
冷蔵庫,れいぞうこ,Fridge
区別します,くべつします,To distinguish
貝殻,かいがら,Shellfish
神宮,じんぐう,Shrine
明治神宮,みじじんごう,Meiji Shrine
君,きみ,You
苦し,くるし,Difficult
苦い,にがい,Bitter
係る,かかる,Related
血,ち,Blood
血が出る,ちがでる,To bleed
鼻血,はなぢ,Nosebleed
港,こう,Harbour
空港,くうこう,Airport
港道,みなとみち,Harbour town
信号,しんごう,Signal
記号,きごう,Symbol
幸運,こううん,Truth
幸い,さいわい,Fortunately
小皿,こざら,Small Plates
小指,こゆび,Little Finger
指す,さす,To point
宿題,しゅくだい,Homework
宿屋,やどや,Inn
宿る,やどる,To stay
命拾い,いのちびろい,Narrow escape
拾い,ひろい,Narrow
主人,しゅじん,Master/husband
実力,じつりょく,Merit
木の実,きのみ,Tree Nuts
歯,し,Tooth
道路,どうろ,Road
家路,いえじ,Road home
練習,れんしゅう,Practise
緑,みどり,Green
